Draw,Draw#,Num1,Num2,Num3,Num4,Num5,BB,Letter,Sup1,Sup2,Sup3,Sup4,Sup5,Sup6,SupBB,SupLetter
3463.0,2548.0,6,9,12,20,23,29,K,3,12,16,17,18,23,1,C
3462.0,2547.0,2,3,9,10,22,1,K,1,4,6,26,27,28,1,G
3461.0,2546.0,1,7,9,18,35,20,K,4,11,13,14,19,25,1,J
3460.0,2545.0,2,8,10,15,31,7,K,3,6,8,12,18,26,1,A
3459.0,2544.0,2,6,8,11,20,30,K,3,9,10,26,27,28,1,N
,2543.0,2,8,15,18,35,13,K,8,15,16,20,23,28,1,K
3458.0,,5,9,19,23,33,11,K,0,0,0,0,0,0,0,0
3457.0,2542.0,11,21,25,30,35,27,K,4,7,10,19,25,27,1,O
,2541.0,5,6,8,22,25,4,K,2,6,11,14,24,25,1,L
3455.0,2539.0,3,4,10,21,32,14,K,1,4,5,13,14,25,1,O
3454.0,2538.0,11,24,32,35,36,20,K,2,6,9,10,16,17,1,A
3453.0,2537.0,2,23,25,32,34,31,K,2,6,9,14,15,20,1,A
3452.0,2536.0,8,14,16,25,35,21,K,1,3,4,12,22,25,1,A
3451.0,2535.0,7,10,18,19,20,32,K,2,7,11,13,14,16,1,A
3450.0,2534.0,7,9,12,27,31,4,K,3,11,16,20,21,28,1,A
,2533.0,1,17,19,27,36,12,K,6,9,10,20,26,27,1,A
3449.0,2532.0,1,12,22,25,28,16,K,1,3,8,14,17,22,1,A
3448.0,2531.0,14,15,26,29,31,7,K,1,5,7,8,23,27,1,A
3447.0,2530.0,4,13,16,29,34,9,K,6,7,14,19,24,25,1,A
3446.0,2529.0,3,11,13,16,17,12,K,1,8,22,26,27,28,1,A
3445.0,2528.0,4,16,25,29,32,20,K,4,8,17,19,23,28,1,A
3444.0,2527.0,14,21,23,30,34,10,K,2,3,5,15,22,23,1,A
,2526.0,9,10,24,34,36,6,K,3,5,16,18,20,25,1,A
3443.0,,4,14,17,26,33,18,K,0,0,0,0,0,0,0,0
3442.0,2525.0,17,27,28,32,33,16,K,5,7,12,14,16,18,1,A
3441.0,2524.0,14,20,25,28,31,26,K,1,12,13,16,26,27,1,A
3440.0,2523.0,7,17,23,27,34,20,K,8,11,21,25,27,28,1,A
3439.0,2522.0,2,3,8,11,24,6,K,4,8,10,11,16,28,1,A
3438.0,2521.0,9,10,26,32,36,29,K,5,6,10,14,19,27,1,A
3437.0,2520.0,10,18,27,28,29,20,K,3,4,7,18,21,27,1,A
3436.0,2519.0,7,8,9,31,33,17,K,10,15,19,24,25,27,1,A
3435.0,2518.0,2,8,9,25,29,15,K,3,8,18,21,24,26,1,A
3434.0,2517.0,6,9,13,27,36,14,K,5,9,10,15,17,19,1,A
3433.0,2516.0,19,21,27,29,36,8,K,1,7,18,23,25,26,1,A
3432.0,2515.0,9,13,18,19,28,16,K,2,6,9,10,13,25,1,A
3431.0,2514.0,2,9,24,31,35,16,K,2,7,11,17,19,26,1,A
3430.0,2513.0,3,19,22,24,30,1,K,4,8,12,15,17,18,1,A
3429.0,2512.0,2,4,6,18,28,36,K,7,15,19,22,24,25,1,A
3428.0,2511.0,34,31,35,3,21,20,K,1,2,13,17,20,23,1,A
3427.0,2510.0,1,4,20,22,30,32,K,6,7,9,12,25,26,1,A
3426.0,2509.0,4,7,8,22,27,34,K,11,14,22,23,25,27,1,A
3425.0,2508.0,4,10,12,15,16,18,K,1,7,8,15,19,25,1,A
3424.0,2507.0,1,5,8,33,34,14,K,10,5,11,4,7,22,1,A
3423.0,2506.0,1,13,14,26,29,7,K,6,8,9,12,22,26,1,A
3422.0,2505.0,15,17,18,19,28,20,K,1,9,13,15,16,19,1,A
3421.0,2504.0,3,6,20,32,33,22,K,2,10,17,19,20,26,1,A
3420.0,2503.0,5,10,14,34,36,17,K,4,6,17,18,23,28,1,A
,2502.0,1,15,20,27,29,24,K,3,8,11,13,18,24,1,A
3419.0,,2,19,23,25,30,26,K,0,0,0,0,0,0,0,0
3418.0,2501.0,28,30,31,34,35,32,K,5,6,10,16,18,26,1,A
3417.0,2500.0,3,6,18,25,31,9,K,4,6,9,14,22,28,1,A
,2499.0,4,6,7,16,26,19,K,2,5,12,14,15,17,1,A
3416.0,2498.0,20,22,29,32,34,19,K,4,8,19,22,23,24,1,A
3415.0,2497.0,14,16,19,25,29,22,K,5,7,14,15,20,25,1,A
3414.0,2496.0,4,5,9,21,34,18,K,3,4,11,12,17,25,1,A
3413.0,2495.0,6,12,16,26,36,8,K,1,3,5,9,15,26,1,A
3412.0,2494.0,4,11,23,34,35,33,K,2,7,8,9,13,17,1,A
,2492.0,1,13,15,19,27,29,K,12,14,19,22,25,26,1,A
3411.0,2493.0,4,9,22,24,30,7,K,1,10,11,12,17,26,1,A
3410.0,2491.0,13,15,23,34,36,1,K,1,3,5,23,25,27,1,A
3409.0,2490.0,1,6,8,15,35,18,K,4,7,19,23,25,26,1,A
3408.0,2489.0,1,2,10,23,30,34,K,1,4,15,19,22,24,1,A
3407.0,2488.0,4,6,16,17,18,22,K,1,3,11,24,25,28,1,A
3406.0,2487.0,3,13,31,34,35,29,K,2,5,9,14,23,25,1,A
3405.0,2486.0,3,10,12,26,31,35,K,13,16,20,21,22,28,1,A
3404.0,2485.0,3,20,23,25,28,30,K,6,7,9,11,21,23,1,A
3403.0,2484.0,1,3,15,27,35,30,K,8,9,14,15,22,26,1,A
3402.0,2483.0,2,6,17,23,36,25,K,2,8,12,14,17,26,1,A
3401.0,2482.0,1,18,19,30,35,6,K,5,6,20,24,26,27,1,A
3400.0,2481.0,3,6,11,14,24,23,K,7,8,10,11,14,28,1,A
3399.0,2480.0,1,9,12,23,27,24,K,9,10,13,17,20,22,1,A
3398.0,2479.0,2,6,14,19,29,22,K,6,12,13,24,25,27,1,A
3396.0,2478.0,4,15,18,27,34,26,K,5,8,13,20,24,26,1,A
3396.0,2477.0,3,13,30,31,34,16,K,1,4,14,15,24,28,1,A
3395.0,2476.0,2,3,10,19,21,17,K,2,8,16,24,26,27,1,A
3394.0,2475.0,1,5,11,15,30,29,K,1,6,11,13,14,17,1,A
3393.0,2474.0,8,10,25,30,32,21,K,6,11,13,16,22,28,1,A
3392.0,2473.0,7,17,23,25,31,3,K,2,10,12,15,20,28,1,A
3391.0,2472.0,3,9,17,28,32,26,K,5,6,7,13,27,28,1,A
3390.0,2471.0,6,13,22,26,33,9,K,1,2,16,17,21,26,1,A
3389.0,2470.0,2,6,26,28,29,3,K,2,4,6,15,18,21,1,A
,2469.0,12,13,18,24,35,5,K,3,12,14,16,24,28,1,A
3388.0,2468.0,4,14,20,24,28,3,K,3,13,16,18,25,27,1,A
3387.0,2467.0,4,23,28,30,36,7,K,5,9,10,19,24,28,1,A
3386.0,2466.0,1,2,18,24,35,15,K,13,14,16,19,23,27,1,A
3385.0,2465.0,8,11,22,27,35,28,K,1,8,20,21,26,27,1,A
3384.0,2464.0,11,24,27,29,35,23,K,6,7,10,11,22,28,1,A
3383.0,2463.0,13,18,19,24,28,21,K,2,3,10,16,22,24,1,A
3382.0,2462.0,4,10,16,22,32,36,K,9,17,18,19,21,24,1,A
3381.0,2461.0,3,6,24,29,30,23,K,2,5,6,12,14,21,1,A
3380.0,2460.0,3,4,5,6,7,36,K,4,10,14,18,20,25,1,A
,2459.0,3,19,23,26,29,33,K,1,5,8,9,17,19,1,A
3379.0,2458.0,7,12,16,21,32,36,K,4,5,15,16,17,22,1,A
3378.0,2457.0,6,16,17,20,31,33,K,2,8,9,14,15,21,1,A
3377.0,,10,31,33,34,36,14,K,0,0,0,0,0,0,0,0
3376.0,2455.0,17,25,26,28,33,23,K,7,13,16,18,20,28,1,A
3375.0,2454.0,10,20,28,32,35,17,K,1,5,11,19,22,26,1,A
3374.0,2453.0,8,11,17,22,30,9,K,3,8,18,21,24,26,1,A
3373.0,2452.0,6,19,21,24,27,28,K,7,9,16,17,18,23,1,A
3372.0,2451.0,19,24,27,32,34,13,K,2,11,12,13,17,20,1,A
3371.0,2450.0,6,9,12,22,33,31,K,1,6,8,9,14,27,1,A
3370.0,2449.0,2,16,27,30,34,14,K,5,9,10,14,23,27,1,A
3369.0,2448.0,5,17,25,30,33,24,K,1,8,10,12,25,26,1,A
3368.0,2447.0,4,12,16,25,27,21,K,1,4,17,20,21,28,1,A
3367.0,2446.0,2,3,17,30,32,33,A,5,6,7,11,21,24,1,A
3466.0,,6,10,16,19,35,22,A,0,0,0,0,0,0,0,0
2551.0,,0,0,0,0,0,0,A,2,12,14,15,16,18,1,J
